year,date,description,link,job_title,employer,state,salary_low_end,salary_high_end,salary_mean,pay_basis,classification_experimental
2024,10-31,"Administrative Specialist II, King County, Washington– The Department of Elections has a career service opportunity for an energetic and resourceful professional who likes to “get stuff done”. The Administrative Specialist II position in the Voter Services Department combines an exciting, fast-paced environment with the opportunity to cultivate talents and apply a variety of skills. The ideal candidate will have a desire to help ensure the democratic process through public service.  They will thrive in an innovative environment and will not hesitate to roll up both sleeves, work hard, have fun, and get the job done. Duties include: Provide excellent customer service to internal and external customers in person, via telephone, and via e-mail by processing voter registrations, communicating election program information and explaining election procedures, guidelines and regulations. Perform production-level computer work which includes accurate data entry, retrieving and editing records. Organize and coordinate work activities and assist with providing training and one-on-one instruction to diverse staff. Set up records and file documents in both electronic and paper formats. Review documents for proper format, accuracy, completion, eligibility, and other legal guidelines. Audit work group data entry activities to ensure performance quality and efficiency of work. Utilize spreadsheets, word documents and reports to track and document performance data. Research and resolve questions from staff, citizens and stakeholders. Document and improve work processes, procedures and instructions. Salary: $25.59 – $32.58 Hourly. Deadline: November 11. Application: For the complete job listing and to apply, click here. ",https://www.governmentjobs.com/careers/kingcounty/jobs/4710004/administrative-specialist-ii-elections-specialist?department[0]=KCE%20-%20King%20County%20Elections&sort=PositionTitle%7CAscending&pagetype=jobOpportunitiesJobs,Administrative Specialist II,King County,Washington,53227.2,67766.4,60496.8,hourly,election_official
2024,10-31,"Election Judge Supervisor, Boone County, Missouri – This position provides general supervision in the voter registration department, manages the recruitment, training, payroll, and assignment of election judges for polling places and early voting in Boone County, and provides election information to the public. Minimum Qualifications: Bachelor’s degree, preferably with concentration in English, history, or political science; or equivalent combination of education and experience; demonstrated interest in local government; and previous supervisory/managerial experience. Strong interpersonal skills and familiarity with computer software programs. Registered voter of Boone County or become registered within 60 days of hire. Salary Range: $18.04 – $27.06 per hour. Application: For the complete job listing and to apply, click here. ",https://www.showmeboone.com/hr/webpublish/jobs/29-1132.html,Election Judge Supervisor,Boone County,Missouri,37523.2,56284.799999999996,46903.99999999999,hourly,election_official
2024,10-31,"Organizer, Indiana (Temporary), Common Cause– We are looking for a creative and collaborative Organizer to join the Common Cause Indiana team. This is a key role supporting our organizing and outreach programs and promoting civic engagement within communities throughout the state. This is a full-time, temporary role that will start on January 1, 2025 and end on December 31, 2025 (with a possibility to extend). This role will report to the Executive Director, Indiana, and is based in Central Indiana (Indianapolis and the doughnut counties) with an expectation to travel around the state up to two days per week. Salary: $62,000 – $78,000 a year. Application: For the complete job listing and to apply, click here. ",https://jobs.lever.co/commoncause/a84bc371-82db-4295-9534-2a87a5a0141b?lever-origin=applied&lever-source%5B%5D=Election%20Center,Organizer,Common Cause,Indiana,62000.0,78000.0,70000.0,yearly,not_election_official
2024,10-31,"Organizer, Nebraska (Temporary), Common Cause– We are looking for a creative and collaborative Organizer to join the Common Cause Nebraska team. This is a key role supporting our organizing and outreach programs and promoting civic engagement within communities throughout the state. This is a full-time, temporary role that will start on February 1, 2025 and end January 31, 2026 (with a possibility to extend). This role reports to the Executive Director, Nebraska and is based in Lincoln or Omaha, with an expectation to travel around the state up to four days per week. Salary: $62,000 – $78,000 a year. Application: For the complete job listing and to apply, click here. ",https://jobs.lever.co/commoncause/ec8dea26-e9c4-438f-a91c-f47f7bef43d5?lever-origin=applied&lever-source%5B%5D=Election%20Center,Organizer,Common Cause,Nebraska,62000.0,78000.0,70000.0,yearly,not_election_official
2024,10-31,"Organizer, Pennsylvania, Common Cause– We are looking for a creative and collaborative Organizer to join the Common Cause Pennsylvania team. This is a key role supporting our organizing and outreach programs and promoting civic engagement within communities throughout the state. This is a full-time role reporting to the Executive Director, Pennsylvania; this role can be based anywhere in Pennsylvania, though we have a preference for someone in Harrisburg, and will require the ability to work in-person in our Harrisburg office at least one day per week, as well as travel throughout Pennsylvania up to three days per week. We hope our new Organizer will start in January. Salary: $62,000 – $78,000 a year. Application: For the complete job listing and to apply, click here. ",https://jobs.lever.co/commoncause/1d3a2bc3-ffe9-49d1-922d-c5c0592f6d71?lever-origin=applied&lever-source%5B%5D=Election%20Center,Organizer,Common Cause,Pennsylvania,62000.0,78000.0,70000.0,yearly,not_election_official
2024,10-17,"Administrative Specialist II (Elections Specialist-Chinese):  The Department of Elections – is searching for energetic and resourceful professionals who like to “get stuff done”. The Administrative Specialist II position in the Voter Services Department combines an exciting, fast-paced environment with the opportunity to cultivate talents and apply a variety of skills.  The ideal candidate will have a desire to help ensure the democratic process through public service.  They will thrive in an innovative environment and will not hesitate to roll up both sleeves, work hard, have fun, and get the job done. Salary: $25.59 – $32.58 Hourly. Deadline: October 31.  Application: For the complete job listing and to apply, click here. ",https://www.governmentjobs.com/careers/kingcounty/jobs/4684864/administrative-specialist-ii-elections-specialist-chinese?department[0]=KCE%20-%20King%20County%20Elections&sort=PositionTitle%7CAscending&pagetype=jobOpportunitiesJobs,Administrative Specialist II (Elections Specialist-Chinese),The Department of Elections,,53227.2,67766.4,60496.8,hourly,election_official
2024,10-17,"Campaign Manager/Director, Supreme Court Reform– The Brennan Center for Justice at NYU School of Law is a nonpartisan law and policy institute that seeks to improve our systems of democracy and justice. We work to hold our political institutions and laws accountable to the twin American ideals of democracy and equal justice for all. The Brennan Center’s work ranges from voting rights to court reform, from ending mass incarceration to preserving constitutional protections in the fight against terrorism. Part think tank, part advocacy group, part cutting-edge communications hub, we start with rigorous research. We craft innovative policies. And we fight for them — in the courts, in Congress and the states, and in the court of public opinion.The Brennan Center’s Kohlberg Center on the U.S. Supreme Court was established in 2024 to advocate for reform of the Supreme Court to prevent ethical abuses, reduce partisanship and extremism, and ensure that the Court plays a more  balanced and appropriate role in our constitutional democracy. Building on the Brennan Center’s long-standing work, including in support of Supreme Court term limits and ethics reform, the Kohlberg Center promotes research and policy development, pursues policy advocacy, and engages in broad public education. Salary: $90,000-$140,000. Application: For the complete job listing and to apply, click here. ",https://brennancenter.applytojob.com/apply/RsZRQfTNKn/Campaign-ManagerDirector-Supreme-Court-Reform,"Campaign Manager/Director, Supreme Court Reform",The Brennan Center for Justice at NYU School of Law,New York,90000.0,140000.0,115000.0,yearly,not_election_official
2024,10-17,"Deputy County Clerk, III, Boone County, Missouri– This position provides general supervision in the voter registration department, manages the recruitment, training, payroll, and assignment of election judges for polling places and early voting in Boone County, and provides election information to the public. Join the Boone County team and Make a Difference! Boone County Government offers a competitive benefits package that includes comprehensive health/dental/vision insurance on day one (with options for medical/dental with NO employee premium!), a pension plan, two matching deferred compensation plans, 14 paid holidays, generous sick and vacation leave, and no-cost disability and life insurance options. Boone County is a Public Service Student Loan Forgiveness qualifying employer. Visit our website and apply at: www.showmeboone.com/HR. Columbia, MO is a thriving college town and the cultural hub of mid-Missouri, hosting popular events such as the True/False Film Festival and the Roots N Blues BBQ Festival and a diverse art, music, and restaurant scene. Columbia is the fourth most populous and fastest-growing city in Missouri with an estimated 126,254 residents in 2020. Resting upon the forested hills and rolling prairies of Mid-Missouri near the Missouri River valley, outdoor enthusiasts can enjoy the surrounding Rock Bridge Memorial State Park, Mark Twain National Forest, and Big Muddy National Fish and Wildlife Refuge, in addition to hiking over 278 miles of our local trails! Many popular destinations are a short drive away, including the Capitol of Jefferson City, the Lake of the Ozarks, Saint Louis, and Kansas City all within a two-hour drive or less. Salary: $18.04 – $27.06 per hour. Application: For the complete job listing and to apply, click here.",https://www.showmeboone.com/hr/webpublish/jobs/29-1132.html,"Deputy County Clerk, III","Boone County, Missouri",Missouri,37523.2,56284.8,46903.99999999999,hourly,election_official
2024,10-17,"Elections Operation Manager, Boone County, Missouri– This position is responsible for the inventory and maintenance of voting equipment and warehouse operations, including polling place support and supervision of temporary workers. Join the Boone County team and Make a Difference! Boone County Government offers a competitive benefits package that includes comprehensive health/dental/vision insurance on day one (with options for medical/dental with NO employee premium!), a pension plan, two matching deferred compensation plans, 14 paid holidays, generous sick and vacation leave, and no-cost disability and life insurance options. Boone County is a Public Service Student Loan Forgiveness qualifying employer. Visit our website and apply at: www.showmeboone.com/HR. Columbia, MO is a thriving college town and the cultural hub of mid-Missouri, hosting popular events such as the True/False Film Festival and the Roots N Blues BBQ Festival and a diverse art, music, and restaurant scene. Columbia is the fourth most populous and fastest-growing city in Missouri with an estimated 126,254 residents in 2020. Resting upon the forested hills and rolling prairies of Mid-Missouri near the Missouri River valley, outdoor enthusiasts can enjoy the surrounding Rock Bridge Memorial State Park, Mark Twain National Forest, and Big Muddy National Fish and Wildlife Refuge, in addition to hiking over 278 miles of our local trails! Many popular destinations are a short drive away, including the Capitol of Jefferson City, the Lake of the Ozarks, Saint Louis, and Kansas City all within a two-hour drive or less. Salary: $20.92 – $31.38 per hour.  Application: For the complete job listing and to apply, click here. ",https://www.showmeboone.com/hr/webpublish/jobs/258-1132.html,Elections Operation Manager,Boone County Government,Missouri,43513.600000000006,65270.4,54392.0,hourly,election_official
2024,10-10,"Administrative Specialist II (Elections Specialist-Chinese), King County Elections:  The Department of Elections – is searching for energetic and resourceful professionals who like to “get stuff done”. The Administrative Specialist II position in the Voter Services Department combines an exciting, fast-paced environment with the opportunity to cultivate talents and apply a variety of skills.  The ideal candidate will have a desire to help ensure the democratic process through public service.  They will thrive in an innovative environment and will not hesitate to roll up both sleeves, work hard, have fun, and get the job done. Salary: $25.59 – $32.58 Hourly. Deadline: October 31.  Application: For the complete job listing and to apply, click here. ",https://www.governmentjobs.com/careers/kingcounty/jobs/4684864/administrative-specialist-ii-elections-specialist-chinese?department[0]=KCE%20-%20King%20County%20Elections&sort=PositionTitle%7CAscending&pagetype=jobOpportunitiesJobs,Administrative Specialist II (Elections Specialist-Chinese),King County Elections,Washington,53227.2,67766.4,60496.8,hourly,election_official
