year,salary_top,counts_top,salary_nontop,counts_nontop
2011,122797.25,5,81374.81578947368,26
2012,122472.0,1,64993.49846153846,24
2013,121972.15,4,63600.1752,33
2014,91372.5,2,64587.861304347825,36
2015,128727.33333333333,6,62859.05055555555,43
2016,125221.0,3,56276.76038461538,48
2017,130419.46125,4,62364.229655172414,38
2018,137255.5625,10,65426.26,46
2019,110077.96227272727,13,60828.115352941175,114
2020,110456.44428571429,17,64493.01516129032,79
2021,135697.06625,27,71444.93723529411,121
2022,132026.1923076923,23,69371.35857142857,144
2023,140156.68375,16,78046.626328125,158
2024,148675.8955,11,70828.23597222223,85
