,Job Title,Employer,Salary,Description,Link,Date,Year
22,Assistant Registrar of Voters,"Kern County, California","$120,886-$144,461","Assistant Registrar of Voters, Kern County, California— Kern County is looking for someone to be part of an established and large department that strives to uphold the principles of fairness, transparency, and accessibility in the democratic process. Our next Assistant Registrar of Voters is someone who will not just manage the day-to-day operations of the Elections Division but will bring vision and implementation to a diverse and growing community. We’re looking for a change agent who will build relationships, enhance services, and develop collaborative strategies to enhance outcomes. Salary: $120,886-$144,461. Deadline: Oct. 27. Application: For the complete listing and to apply, click here.",https://www.kerncounty.com/Home/Components/News/News/2154/34810,10-19,2023
25,City Secretary,"Denton, Texas","$85,260.- $136,416","City Secretary, Denton, Texas— Denton, Texas (pop. 151,000) is a unique community located at the northern tip of a high-growth area known as “The Golden Triangle” (formed by Denton, Fort Worth and Dallas). Denton is a dynamic community, serving as the county seat and a major city in Denton County. Under the direction of the Chief of Staff, the City Secretary is responsible for the oversight and administration of the City Secretary’s Office. This position serves as the Chief Election Official, coordinating all campaign reporting requirements, overseeing municipal general, special, and bond elections with the Denton County Election Administrators, and administering all aspects of the duties in accordance with Federal and State laws. The City Secretary oversees a staff of three full-time and one part-time employee. The combined overall FY2023-2024 budget for the City Manager’s Office and the City Secretary’s Office is $3.3 million. Salary: $85,260.- $136,416. Deadline: Nov. 13. Application: For the complete job listing and to apply, click here.",https://www.governmentjobs.com/careers/bakertilly/jobs/4242358-0/city-secretary-denton-texas,10-19,2023
29,Departmental Analyst,Michigan Department of State,"$57,553 – $84,115","Departmental Analyst (Data & Programs Unit), Michigan Department of State– This position will serve as the recognized resource and training lead for the Data & Programs Unit, supporting the internal documentation of all functionalities of the Qualified Voter File (QVF) software and related applications; prioritize software support and development and coordinate with QVF stakeholders to define business requirements and testing timelines. Additionally, this position is to assist the unit manager in all day-to-day operations that support the Data & Programs work area. Salary: $57,553 – $84,115. Deadline: Nov. 2. Application: For the complete job listing and to apply, click here.",https://www.governmentjobs.com/careers/michigan/jobs/4245379/departmental-analyst-12-data-programs-unit?keywords=Data%20and%20Programs&pagetype=jobOpportunitiesJobs,10-19,2023
31,Director of Purchasing,Chicago Board of Elections,"$100,000 – $105,000","Director of Purchasing, Chicago Board of Elections— The Director of Purchasing is an administrative position at the Board responsible for managing all duties related to preparation and processing of procurement contracts for the Board. Responsibilities: Implement purchasing policies and recommend procedures for staff; Work with user departments and warehouse to coordinate planning and purchasing strategies, including assisting Divisions with contract management and renewal; Schedule all purchasing activities to ensure timely procurement and delivery of sufficient supplies for effective administration of the Board; Coordinate the preparation of RFQs, RFPs, IFBs and other procurement methods to solicit competitive proposals and bids from qualified vendors; Prepare legal notices for publication as required for purchasing in coordination with the Board’s Director of Public Information, Legal Department and Administration; Analyze and evaluate bid specifications, tests reports and other relevant data; Oversee the evaluation of proposals and bids to determine the most responsive, responsible and qualified bidder; Participate in negotiating contract terms, cost and conditions; Promote and monitor MBE/WBE participation; Prepare purchasing and financial reports as requested by the Executive Director and the Board, including bid award recommendations and providing such reports to the Commissioners during their public Board meetings; Prepare annual and quarterly reports on procurement; Coordinate reports and vouchers for the Board and related agencies; Supervise employees in the Purchasing Department; and Other duties as assigned by the Executive Director. Salary: $100,000 – $105,000. Application: For the complete job listing and to apply, click here.",https://app.chicagoelections.com/Documents/general/Director%20of%20Purchasing.pdf,10-19,2023
32,Early Voting Specialist,"Ottawa County, Michigan",$27.82 – $36.18 Hourly,"Early Voting Specialist, Ottawa County, Michigan— Under the direction of the County Clerk, Chief Deputy County Clerk and Elections Supervisor, coordinates and administers all early voting operations held within the county. Ensures substantive and procedural compliance with all federal, state, and local statutes and regulations governing elections. Coordinates and manages the staging of early voting sites, develops and manages the communication plan, assists with the development and administration of the budget for early voting, and aids with the management of nine early days of voting and post-election reconciliation duties. Provides technical support for all cities and townships within Ottawa County. Performs a variety of functions required to ensure fair, free, accurate and cost-effective elections. This is a full-time benefited position working out of Fillmore complex in West Olive, Michigan. Travel to other County locations as needed. Salary: $27.82 – $36.18 Hourly. Application: For the complete job listing and to apply, click here.",https://www.governmentjobs.com/careers/miottawa/jobs/4194218/early-voting-specialist?keywords=earl&pagetype=jobOpportunitiesJobs,10-19,2023
33,Election Outreach Administrator or Senior Outreach Administrator,"Arapahoe County, Colorado","$49,589 – $81,769","Election Outreach Administrator or Senior Outreach Administrator, Arapahoe County, Colorado— The Election Outreach Administrator performs specialized level administrative, and professional work in carrying out a comprehensive public facing service operation. This position specifically leads and supports all areas of community outreach including voter education materials, judge training, coordinating various voter programs and partnering with designated election officials and the partner community at large. The Senior Outreach Administrator performs senior level administrative, and professional work in carrying out a comprehensive public facing service operation. This position specifically leads and supports all areas of community outreach including voter education materials, judge training, coordinating various voter programs and partnering with designated election officials and the partner community at large. Salary: $49,589 – $81,769. Deadline: Oct. 27. Application: For the complete job listing and to apply, click here.",https://www.governmentjobs.com/careers/arapahoe/jobs/4238987/election-outreach-administrator-or-senior-outreach-administrator,10-19,2023
34,Elections Attorney,Iowa Secretary of State,"$68,764.- $105,872","Elections Attorney, Iowa Secretary of State– The Office of Secretary of State (SOS) has three primary areas of responsibility: 1) Elections & Voter Registration, 2) Business Services, and 3) Safe at Home. The Elections Division provides oversight of election administration and voter registration duties conducted by county elections officials. The Business Services Division accepts filings related to business entities, notaries, and other related activities. Safe at Home is an address confidentiality program for survivors of domestic abuse, sexual assault, and other violent crimes. In addition to these three functional areas, the SOS has financial, IT, and communications teams that provide officewide support. The Office of the Iowa Secretary of State is seeking an Elections Attorney (Attorney 2) to research, analyze, and advise on election-related legal issues both from internal staff and outside stakeholders. This includes analysis of state and federal statutes, court decisions, and administrative rules. Additionally, the Elections Attorney will propose, draft, and advocate for legislation, administrative rules, and policies. The position will serve as primary liaison to the Attorney General’s office (elections), serve as secretary and counsel to the Voter Registration Commission, and work with investigators on possible violations of election law. Position will act as counsel to the Secretary of State and Chief of Staff. Other duties may include a variety of in-house counsel work alongside the Chief Operating Officer. Graduation from an accredited law school is required. A license to practice law is preferred but graduates who are eligible for admission to the Bar may be considered. This position reports to the Chief Operating Officer. Salary: $68,764.- $105,872. Deadline: Nov. 1. Application: For the complete job listing and to apply, click here.",https://www.governmentjobs.com/careers/iowa/jobs/4247029/elections-attorney-attorney-2-for-iowa-secretary-of-state,10-19,2023
114,Elections Technician or Specialist,"Larimer County, Colorado",$22.69 – $29.95/hr,"Elections Technician or Specialist, Larimer County, Colorado— The Larimer County Clerk & Recorder Elections division offers an outstanding opportunity for an exciting career in the always engaging field of Election Administration – where the foundation of government begins for our citizens! We are seeking skilled Elections Technicians/Elections Specialists to join our highly respected team. We serve a population of more than 300,000 citizens, of which more than 250,000 are registered voters. We embrace innovative processes and have a shown reputation for integrity. If you are a self-motivated, positive teammate who thrives in a fast-paced professional environment – we want to hear from you! The successful candidate will be dedicated, assertive, and possess outstanding interpersonal and problem-solving skills. The Elections Technician/Elections Specialist position provides support to and/or oversight for certain processes. Salary: $22.69 – $29.95/hr. Deadline: Jan. 22. Application: For the complete job listing and to apply, click here.",https://www.governmentjobs.com/careers/colarimerco,01-19,2023
138,Election Program Supervisor,"King County, Washington",$36.67 – $46.48 Hourly,"Election Program Supervisor, King County, Washington— This benefits-eligible Term-Limited Temporary (TLT) position is anticipated to last up to two years. A Special Duty Assignment may be considered for King County Career Service employees who have passed their initial probationary period. King County’s Department of Elections is searching for an exceptional leader to serve as a Voter Services Supervisor. This position reports to the Voter Services Manager and provides support for the voter registration program. The person who fills this role will oversee check-in, in-person customer service, petitions, vote centers, and voter registration maintenance and support for paper registrations, online voter registrations, and registrations received through the Department of Licensing. King County Elections (KCE) manages voter registration and elections for more than 1.4 million voters in King County and is the largest vote-by-mail county in the United States. KCE’s mission is to conduct accessible, secure, and accurate elections. As a leader in providing inclusive elections, KCE is focused on three key priorities – (1) actively identifying and working to remove barriers to voting at both the individual and community level, (2) strengthening relationships with community and governmental partners, and (3) creating a culture of professional growth and development, openness and inclusion. KCE believes that democracy works best when all voices are heard, and proactively work to remove barriers to ensure all voters can meaningfully participate in our elections. Salary: $36.67 – $46.48 Hourly. Deadline: April 25. Application: For the complete job listing and to apply, click here.",https://electionline.org/wp-admin/post.php?post=9620&action=edit,04-20,2023
148,Technology Division Leader,"Boulder County, Colorado","$61,680 – $88,836","Technology Division Leader, Boulder County, Colorado— The Boulder County Clerk and Recorder’s Office is seeking to hire a Data Analyst. The Data Analyst will play a critical role in helping our office provide excellent service to Boulder County residents by collecting, analyzing, and reporting on data to support effective decision making and operations. This position will work closely with other team members to maximize efficiency and accuracy throughout the elections process. The ideal candidate will be team-oriented and will have the ability to build effective working relationships with others. Salary: $61,680 – $88,836. Deadline: April 23. Application: For the complete job listing and to apply, click here.",https://www.governmentjobs.com/careers/boulder/jobs/3981903/data-analyst?page=2&pagetype=jobOpportunitiesJobs,04-20,2023
