row_index,error
20,"4 validation errors for ExtractionResult
skill_categories_preferred
  Input should be a valid list [type=list_type, input_value='null', input_type=str]
    For further information visit https://errors.pydantic.dev/2.12/v/list_type
certifications_required
  Input should be a valid list [type=list_type, input_value='null', input_type=str]
    For further information visit https://errors.pydantic.dev/2.12/v/list_type
certifications_preferred
  Input should be a valid list [type=list_type, input_value='null', input_type=str]
    For further information visit https://errors.pydantic.dev/2.12/v/list_type
certifications_substitutable
  Input should be a valid list [type=list_type, input_value='null', input_type=str]
    For further information visit https://errors.pydantic.dev/2.12/v/list_type"
38,"2 validation errors for ExtractionResult
certifications_preferred
  Input should be a valid list [type=list_type, input_value='null', input_type=str]
    For further information visit https://errors.pydantic.dev/2.12/v/list_type
certifications_substitutable
  Input should be a valid list [type=list_type, input_value='null', input_type=str]
    For further information visit https://errors.pydantic.dev/2.12/v/list_type"
108,"2 validation errors for ExtractionResult
certifications_preferred
  Input should be a valid list [type=list_type, input_value='null', input_type=str]
    For further information visit https://errors.pydantic.dev/2.12/v/list_type
certifications_substitutable
  Input should be a valid list [type=list_type, input_value='null', input_type=str]
    For further information visit https://errors.pydantic.dev/2.12/v/list_type"
131,"1 validation error for ExtractionResult
full_time
  Input should be a valid boolean, unable to interpret input [type=bool_parsing, input_value='true</full_time>\n<param...=""remote_hybrid"">remote', input_type=str]
    For further information visit https://errors.pydantic.dev/2.12/v/bool_parsing"
135,"5 validation errors for ExtractionResult
skill_categories_required
  Input should be a valid list [type=list_type, input_value='null', input_type=str]
    For further information visit https://errors.pydantic.dev/2.12/v/list_type
skill_categories_preferred
  Input should be a valid list [type=list_type, input_value='null', input_type=str]
    For further information visit https://errors.pydantic.dev/2.12/v/list_type
certifications_required
  Input should be a valid list [type=list_type, input_value='null', input_type=str]
    For further information visit https://errors.pydantic.dev/2.12/v/list_type
certifications_preferred
  Input should be a valid list [type=list_type, input_value='null', input_type=str]
    For further information visit https://errors.pydantic.dev/2.12/v/list_type
certifications_substitutable
  Input should be a valid list [type=list_type, input_value='null', input_type=str]
    For further information visit https://errors.pydantic.dev/2.12/v/list_type"
136,"2 validation errors for ExtractionResult
certifications_preferred
  Input should be a valid list [type=list_type, input_value='null', input_type=str]
    For further information visit https://errors.pydantic.dev/2.12/v/list_type
certifications_substitutable
  Input should be a valid list [type=list_type, input_value='null', input_type=str]
    For further information visit https://errors.pydantic.dev/2.12/v/list_type"
268,"4 validation errors for ExtractionResult
skill_categories_preferred
  Input should be a valid list [type=list_type, input_value='null', input_type=str]
    For further information visit https://errors.pydantic.dev/2.12/v/list_type
certifications_required
  Input should be a valid list [type=list_type, input_value='null', input_type=str]
    For further information visit https://errors.pydantic.dev/2.12/v/list_type
certifications_preferred
  Input should be a valid list [type=list_type, input_value='null', input_type=str]
    For further information visit https://errors.pydantic.dev/2.12/v/list_type
certifications_substitutable
  Input should be a valid list [type=list_type, input_value='null', input_type=str]
    For further information visit https://errors.pydantic.dev/2.12/v/list_type"
279,"3 validation errors for ExtractionResult
skill_categories_preferred
  Input should be a valid list [type=list_type, input_value='null', input_type=str]
    For further information visit https://errors.pydantic.dev/2.12/v/list_type
certifications_preferred
  Input should be a valid list [type=list_type, input_value='null', input_type=str]
    For further information visit https://errors.pydantic.dev/2.12/v/list_type
certifications_substitutable
  Input should be a valid list [type=list_type, input_value='null', input_type=str]
    For further information visit https://errors.pydantic.dev/2.12/v/list_type"
293,"1 validation error for ExtractionResult
skill_categories_mentioned.1
  Input should be 'ops', 'vr', 'legal', 'it_cyber', 'data', 'pm', 'personnel', 'budget', 'comms', 'intergovt', 'gis' or 'bilingual' [type=literal_error, input_value='policy', input_type=str]
    For further information visit https://errors.pydantic.dev/2.12/v/literal_error"
308,"4 validation errors for ExtractionResult
skill_categories_preferred
  Input should be a valid list [type=list_type, input_value='null', input_type=str]
    For further information visit https://errors.pydantic.dev/2.12/v/list_type
certifications_required
  Input should be a valid list [type=list_type, input_value='null', input_type=str]
    For further information visit https://errors.pydantic.dev/2.12/v/list_type
certifications_preferred
  Input should be a valid list [type=list_type, input_value='null', input_type=str]
    For further information visit https://errors.pydantic.dev/2.12/v/list_type
certifications_substitutable
  Input should be a valid list [type=list_type, input_value='null', input_type=str]
    For further information visit https://errors.pydantic.dev/2.12/v/list_type"
314,"5 validation errors for ExtractionResult
skill_categories_required
  Input should be a valid list [type=list_type, input_value='null', input_type=str]
    For further information visit https://errors.pydantic.dev/2.12/v/list_type
skill_categories_preferred
  Input should be a valid list [type=list_type, input_value='null', input_type=str]
    For further information visit https://errors.pydantic.dev/2.12/v/list_type
certifications_required
  Input should be a valid list [type=list_type, input_value='null', input_type=str]
    For further information visit https://errors.pydantic.dev/2.12/v/list_type
certifications_preferred
  Input should be a valid list [type=list_type, input_value='null', input_type=str]
    For further information visit https://errors.pydantic.dev/2.12/v/list_type
certifications_substitutable
  Input should be a valid list [type=list_type, input_value='null', input_type=str]
    For further information visit https://errors.pydantic.dev/2.12/v/list_type"
550,"4 validation errors for ExtractionResult
skill_categories_preferred
  Input should be a valid list [type=list_type, input_value='null', input_type=str]
    For further information visit https://errors.pydantic.dev/2.12/v/list_type
certifications_required
  Input should be a valid list [type=list_type, input_value='null', input_type=str]
    For further information visit https://errors.pydantic.dev/2.12/v/list_type
certifications_preferred
  Input should be a valid list [type=list_type, input_value='null', input_type=str]
    For further information visit https://errors.pydantic.dev/2.12/v/list_type
certifications_substitutable
  Input should be a valid list [type=list_type, input_value='null', input_type=str]
    For further information visit https://errors.pydantic.dev/2.12/v/list_type"
