row_index,text_used,job_title,employer,state,salary_low_end,salary_high_end,pay_basis,skill_categories_required,skill_categories_preferred,skill_categories_mentioned,election_security_explicit,degree_required,degree_field,min_years_experience,experience_can_substitute,certifications_required,certifications_preferred,certifications_substitutable,job_classification,classification_confidence,position_elected,full_time,remote_hybrid,registered_voters,text_confidence
0,full_text,Chief Deputy of Elections,Lubbock County,Texas,77000.0,83000.0,yearly,ops|vr|legal|it_cyber|data|personnel|budget|comms|intergovt,,ops|vr|legal|it_cyber|data|pm|personnel|budget|comms|intergovt|gis,True,bachelor,,3.0,True,,,,election_official,high,False,True,on_site,,high
1,full_text,Director of Election Security,Apollo Information Systems,,135000.0,155000.0,yearly,it_cyber|pm,,it_cyber|pm|comms|intergovt,True,,,,,,,,not_election_official,high,False,True,remote,,high
2,full_text,Election Specialist,Olmsted County,Minnesota,27.14,45.35,hourly,ops|vr|legal|data|gis,personnel,ops|vr|legal|data|gis|personnel,False,associate,"business, administrative assistant or related field",1.0,True,Election Administrator certification,,,election_official,high,False,True,on_site,,high
3,stub,Elections Division Manager,Washington County,Oregon,121647.84,155217.0,yearly,,,ops|personnel|legal,False,,,,,,,,top_election_official,high,,,,400000.0,high
4,stub,Account Manager,Electask,,50000.0,200000.0,yearly,,,comms|pm,False,,,,,,,,not_election_official,high,,True,,,high
5,full_text,Election Software Specialist,Printelect,North Carolina,55000.0,60000.0,yearly,it_cyber|data|comms,it_cyber,it_cyber|data|comms|ops,False,bachelor,multi-level business or government enterprises with an emphasis on a broad communication and data management,,True,,,,not_election_official,high,False,True,on_site,,high
6,full_text,Elections Division Manager,Washington County (Minnesota),Minnesota,43.32,59.19,hourly,ops|personnel|legal,ops|personnel|legal|budget,legal|intergovt|budget|personnel|ops,False,,,2.0,True,,,,top_election_official,high,False,True,on_site,,high
7,stub,Elections Specialist,Kalamazoo County,Michigan,,,,ops|legal,,ops|legal|it_cyber|comms,False,,,,,,,,election_official,high,False,,,,high
8,full_text,Voter Services Manager,King County,Washington,138964.18,176145.84,yearly,vr|ops|legal|personnel|pm,it_cyber|comms,vr|ops|legal|personnel|pm|it_cyber|comms,False,bachelor,"public administration, political science, business administration, or a related field",3.0,True,,Washington State Elections Administrator Certification,,top_election_official,high,False,True,hybrid,1400000.0,high
9,full_text,Election Service Manager,"Arapahoe County, Colorado (Clerk & Recorder's Office)",Colorado,77439.18,123701.24,yearly,ops|pm|personnel|budget,bilingual,budget|pm|personnel|ops|bilingual,True,bachelor,"public administration, Organizational Leadership, or related field",5.0,True,,,,election_official,high,False,True,hybrid,,high
10,full_text,Elections & Voter Registration Director,Unified Government of Athens-Clarke County,Georgia,99902.0,119007.0,yearly,ops|vr|legal|data|personnel|budget|comms|intergovt,,ops|vr|legal|data|pm|personnel|budget|comms|intergovt|gis,True,bachelor,"Political Science, Public Administration, or related field",5.0,True,Georgia Election Official Certification|Notary Public,,,top_election_official,high,False,True,on_site,,high
11,full_text,Elections Specialist – Incoming Ballots,Pierce County,Washington,36.36,45.99,hourly,ops|data|it_cyber,personnel|legal,ops|data|it_cyber|personnel|legal,True,,,4.0,True,,Elections Administrator,,election_official,high,False,True,on_site,590000.0,high
12,full_text,Elections Supervisor,Pierce County,Washington,41.0,52.11,hourly,vr|ops|personnel|legal,intergovt,vr|ops|personnel|legal|comms|intergovt,False,,,4.0,True,Elections Administrator (WAC/RCW),Elections Administrator (WAC/RCW),,election_official,high,False,True,hybrid,590000.0,high
13,full_text,Sales Director,Civix Software Group,,,,,comms,legal,legal|comms,False,bachelor,"Business, Political Science, Public Administration, or related field",7.0,True,,,,not_election_official,high,False,,,,high
14,full_text,Administrative Specialist III (Elections Specialist Lead),King County Elections,WA,32.44,41.25,hourly,ops|personnel|data|comms,,ops|personnel|data|comms,False,,,,,,,,election_official,high,False,True,hybrid,1400000.0,high
15,stub,Elections Project Manager,Riverside County Registrar of Voters,California,97289.0,138984.0,yearly,pm|data|budget|comms,bilingual,budget|pm|comms|bilingual|data,False,,,,,,PMI,,election_official,high,False,True,hybrid,,high
16,stub,Outreach Administrator/Senior Outreach Administration,Arapahoe County,Colorado,54589.08,81831.1,yearly,,,comms|personnel|ops,False,,,,,,,,election_official,high,,,,,high
17,stub,Voter Services Manager,Arapahoe County,Colorado,77439.18,123701.24,yearly,vr|gis|personnel,,vr|gis|ops|comms|personnel,False,,,,,,,,election_official,high,,True,,,high
18,full_text,Elections Administrator,Lubbock County,Texas,95000.0,105000.0,yearly,ops|vr|legal|it_cyber|personnel|budget|comms|intergovt,,ops|vr|legal|it_cyber|data|pm|personnel|budget|comms|intergovt|gis,True,bachelor,"Public Administration, Political Science, Business Administration or related field",5.0,False,Public Information Act Basic Training,Certified Elections/Registration Administrator Certification (CERA)|Registered Election Official (REO) Certification,,top_election_official,high,False,True,on_site,,high
19,stub,Elections Division Manager,Washington County,Oregon,121647.84,155217.0,yearly,ops|personnel|budget,,ops|personnel|budget|legal|comms,False,,,,,,,,top_election_official,high,,,,400000.0,high
20,full_text,Senior Elections Manager,Salt Lake County,Utah,70503.0,87250.0,yearly,ops|personnel|data,,ops|personnel|data,False,bachelor,"Public Administration, Business Administration, or other closely related field",4.0,True,,,,election_official,high,,True,,,high
21,stub,"Staff Attorney, Safeguarding Democracy Project",Safeguarding Democracy Project (UCLA),California,,,,legal,,legal|comms|data,True,,,,,,,,not_election_official,high,False,True,hybrid,,high
22,stub,Community Outreach Coordinator,Dallas County,Texas,5883.0,47343.0,yearly,comms,,comms|data|intergovt,False,,,,,,,,election_official,high,False,,,,high
23,full_text,Election Services Manager,Virginia Department of Elections,Virginia,0.0,130000.0,yearly,legal|ops|vr|data|personnel|comms|intergovt,legal,intergovt|comms|personnel|legal|vr|ops|data,False,,,,,,,,top_election_official,high,False,True,,,high
