text_quality_assigned,junk_reason,year,job_title,employer,full_text_length,stub_description,full_text,reviewer_verdict,reviewer_notes
rich_full_text,,2023,Precinct Manager,Board of Voter Registration and Elections,4605.0,"Precinct Manager, North Charleston, South Carolina— Are you passionate about democracy and civic engagement? Join us as a Precinct Manager at the Board of Elections and play a pivotal role in ensuring smooth and efficient elections! Welcome to the Board of Voter Registration and Elections, where we are not just an agency, but a dynamic force committed to excellence in democracy. As an award-winnin","=== JOB DETAILS ===

Title: Precinct Manager
Salary: $64,209.00 - $84,146.00 YEAR
Location: North Charleston, SC, SC, 29405
Employer: Charleston County Government
Employment Type: FULL_TIME
Date Posted: 2023-12-06
Job Type: Full-Time
Job Number: EV208995
Department: Board of Voter Registration & Elections
Opening Date: 12/07/2023

BENEFITS:
  • Health, Dental, Vision and Life Insurance
  • Optional Life and Disability Insurance
  • Optional Medical and Dependent Care Spending Accounts
  • Annual and Sick Leave
  • Fourteen (14) recognized Holidays
  • South Carolina Retirement System (SCRS) State Retirement Plan
  • Police Officers Retirement System (PORS - as applicable)
  • Optional Deferred Compensation Program
  • Longevity and Merit Pay Increases
  • Optional Federal Credit Union Membership
  • Leadership, Professional and Skill Development Training
  • Employee Assistance Program
  • Employee Well-being Program

For more information, visit our
benefits page
.

=== JOB DESCRIPTION ===

Are you passionate about democracy and civic engagement? Join us as a Precinct Manager at the Board of Elections and play a pivotal role in ensuring smooth and efficient elections!

Welcome to the Board of Voter Registration and Elections, where we are not just an agency, but a dynamic force committed to excellence in democracy. As an award-winning organization, we pride ourselves on our relentless pursuit of improvement to better serve the voters in our community. A major way this is done is through the recruitment and management of those who serve as poll managers. At the heart of our mission is an unyielding dedication to organizing elections with precision, fairness, and strict adherence to the law.

Why Join Us:

1. Pioneers in Electoral Excellence:

We are not just an office; we are pioneers in electoral excellence. Our track record as an award-winning agency speaks volumes about our commitment to providing the best service to our voters.

2. Continuous Improvement:

We bel",,
rich_full_text,,2014,Project Coordinator,Future of California Elections,4805.0,"Project Coordinator, Future of California Elections, Los Angeles — the Future of California Elections (FoCE) seeks a temporary full-time Project Coordinator to serve as a California-based staff person responsible for administration and program support of all the activities of the Future of California collaboration, a coalition of election officials, civil rights organizations and reform advocates ","Mission
The Future of California Elections (FoCE) Network is a nonpartisan network of election officials, reform advocates, civil rights organizations, and civic engagement groups collaborating to advance effective and inclusive election policies and practices.
Our Commitment to Inclusion
The Future of California Elections Network participants work to advance election policies and practices that ensure access to our democracy for all voters regardless of demographics, including race/ethnicity, disability, language, age, sexual orientation, gender and gender identity, socioeconomic status, geography, political preference, or religion. Furthermore, the Network holds itself accountable to ensuring full diversity, equity, and inclusion in its own structure and activities.
The Future of California Elections Network builds on the work of Future of California Elections, the nonprofit. FoCE the nonprofit worked from 2011 to 2020 to build collaboration between election officials and nonprofits with dual goals of modernizing elections and expanding participation.
FoCE held a space for thoughtful election policy discussions among a diversity of voices; was known for inclusive annual conferences and educational events; and was a trusted source for best practices and plain language voter education materials.
This Election Library, developed as the nonprofit closed at the end of 2020, holds the body of work developed by FoCE and its partners under its cross-sector collaboration model. It includes videos, reports, toolkits, sample documents and more. The archive is organized by the categories of FoCE’s work but the Search Bar allows for easy navigation to all resources.
We hope it serves election officials, nonprofits and other partners working in collaboration to strengthen our democracy.
Testimonials
“FoCE proved to be an extraordinary group that impacted California election policy, improved voter education, assisted elections officials in implementing new voter programs like sa",,
rich_full_text,,2019,Support Specialist-Elections,"Marion County, Oregon",7516.0,"Support Specialist-Elections, Marion County, Oregon— Journey level classification of the Information Services series, which applies specialized knowledge in department wide, multiple software applications; conducts training sessions; assists in design of systems and applications, and recommend policy or procedural changes to ensure effectiveness and efficiency of systems; provides technical assist","=== JOB DETAILS ===

Salary: $21.68 - $29.02 Hourly
Location: Salem, OR
Job Type: Full-time Regular
Job Number: 650-2019-1
Department: Clerk - Elections
Opening Date: 01/18/2019
Closing Date: 2/4/2019 11:59 PM Pacific
FLSA: Non-Exempt
Bargaining Unit: 08

=== JOB DESCRIPTION ===

GENERAL STATEMENT OF DUTIES
Journey level classification of the Information Services series, which applies specialized knowledge in department wide, multiple software applications; conducts training sessions; assists in design of systems and applications, and recommend policy or procedural changes to ensure effectiveness and efficiency of systems; provides technical assistance in and facilitates the use of computer hardware and software for a department; and performs related work as required. 
 
SUPERVISION RECEIVED
Works under the general supervision of the Elections and Recording Manager who assigns work, establishes goals, and reviews work for conformance to technical standards and compliance with department goals.
 
SUPERVISION EXERCISED
Supervision of other employees is not a responsibility of positions in this classification; however, may exercise lead direction over other technical or clerical staff.

Provide technical assistance to three divisions of the Clerk's Department: Elections, Recording and Board of Property Tax Appeal (BOPTA); assists users with problems, tracks program area problems and monitors system for efficiency and effectiveness; recommends procedural changes, hardware and/or software changes or enhancements; answers a variety of routine and complex computer related questions from users; researches and recommends the purchase of hardware and software; tests new software before implementation; installs computer software upgrades, performs some hardware maintenance and writes and maintains user documentation.  Development, enhancements and updates to web sites for entire Clerk's Department (three divisions).
Programing, training and testing of proprietary election ball",,
rich_full_text,,2025,Election Operations & Workforce Manager,Charleston County,5599.0,"Election Operations & Workforce Manager, Charleston County, South Carolina–  The Board of Voter Registration and Elections is an award-winning organization dedicated to excellence in electoral processes. Our mission is to daily serve the Charleston County voting constituency with Vigilance, Objectivity, and Transparency in a manner that promotes due diligence Excellence in all aspects of Elections","=== JOB DETAILS ===

Title: Election Operations &amp; Workforce Manager
Salary: $68,140.00 - $89,252.00 YEAR
Location: Lonnie Hamilton Public Services Building, SC, SC, 29405
Employer: Charleston County Government
Employment Type: FULL_TIME
Date Posted: 2025-09-09
Job Type: Full-Time
Job Number: EV210482
Department: Board of Voter Registration & Elections
Opening Date: 09/10/2025

BENEFITS:
  • Health, Dental, Vision and Life Insurance
  • Optional Life and Disability Insurance
  • Optional Medical and Dependent Care Spending Accounts
  • Annual and Sick Leave
  • Fourteen (14) recognized Holidays
  • South Carolina Retirement System (SCRS) State Retirement Plan
  • Police Officers Retirement System (PORS - as applicable)
  • Optional Deferred Compensation Program
  • Longevity and Merit Pay Increases
  • Leadership, Professional and Skill Development Training
  • Employee Assistance Program
  • Employee Well-being Program

For more information, visit our
benefits page
.

=== JOB DESCRIPTION ===

Are you driven by a passion for democracy and civic engagement? Join the Board of Voter Registration and Elections as the Election Operations and Workforce Manager and play a critical role in delivering seamless, fair, and accessible elections.  

About Us  

The Board of Voter Registration and Elections is an award-winning organization dedicated to excellence in electoral processes. Our mission is to daily serve the Charleston County voting constituency with Vigilance, Objectivity, and Transparency in a manner that promotes due diligence Excellence in all aspects of Elections Management.  

We are committed to continuous improvement, innovative practices, and exceptional service to our community, ensuring every voter’s voice is heard.  

Why Join Us?  

Leaders in Excellence: As an award-winning agency, we set the standard for integrity and voter service.  
Grow With a Mission-Driven Team: We don’t just run elections—we’re committed to improving them. If you’re looking for",,
rich_full_text,,2015,Election Services Technician,Contra Costa County,3105.0,"Election Services Technician, Contra Costa County, California — current vacant positions will be assigned to one of the specialized units of the Elections Department: Candidate and Voter Services; Voter Registration Services and File Maintenance; Absentee Services/Training and Procedures; Polling Place/Poll Worker Recruitment/Precinct Services; G.I.S. and Mapping Services; and Warehouse and Equipm","- County Home
- Departments & Offices
- Departments & Offices E-Z
- Human Resources
Human Resources Department
Overview
The Human Resources Department's mission is to support each County department in providing services to our community by attracting and retaining a highly skilled and diversified workforce that is fairly compensated and rewarded for its efforts in an equitable and responsible work environment. Human Resources is comprised of four program areas: Administration, Employee Benefits, Talent and Development (previously Personnel Services), and Human Resources Systems Management.
Administration
Administration develops, administers, and monitors the annual budget, general purchasing, countywide contracts, and accounts payable and accounts receivable activities. It formulates countywide Human Resources policies and procedures, consults on Human Resources and Merit Board issues, administers countywide contracted temporary workers, and manages the preemployment fingerprinting and I-9 processes.
Employee Benefits
Employee Benefits administers competitive benefit programs and services that contribute to the health and wellbeing of County employees and retirees. The mix of insured and self-insured programs include Medical, Dental, and Vision Insurance, State Disability Insurance, 457(b) Deferred Compensation Plan, Health Care Spending Account, Health Savings Account, Supplemental Life Insurance, Unemployment Insurance, Dependent Care Assistance Program, CVC Eye Screening Program, and the Employee Assistance Program. ADA Program and Leaves of Absence Program management provide guidance, support and training to departments on the variety of laws which govern their use.
Talent and Development
Talent and Development provides innovative, responsive, fair, and consistent recruitment and selection services to departments, employees, and job applicants to ensure that the County employs, develops, and retains a qualified and diverse workforce that delivers essential servi",,
rich_full_text,,2022,Program Manager III (Director of Election Reform and Management),Maryland State Board of Elections,3145.0,"Program Manager III (Director of Election Reform and Management), Maryland State Board of Elections— The Director of the Election Reform and Management Division manages and supports the State’s implementation of the Help America Vote Act, Uniformed and Overseas Citizens Absentee Voting Act, and other federal election laws, develops and implements efforts to improve election administration, and ove","PROGRAM MANAGER III
Director of Election Reform and Management
Recruitment #22-005478-0016
| Department | SBE Help America Vote Act |
|---|---|
| Date Opened | 5/6/2022 11:45:00 AM |
| Filing Deadline | 6/6/2022 11:59:00 PM |
| Salary | $66,516.00 - $108,929.00/year |
| Employment Type |
Full-Time
|
| HR Analyst | Shermaine Malcolm |
| Work Location |
Anne Arundel
|
GRADE
LOCATION OF POSITION
Main Purpose of Job
POSITION DUTIES
MINIMUM QUALIFICATIONS
DESIRED OR PREFERRED QUALIFICATIONS
Preference will be given to applicantsÂ who possess the following preferred qualification(s).Â Include clear and specific information on your application regardingÂ your qualifications.
1. Knowledge of elections in Maryland and experience administering an election
2. Detail oriented, good organizational skills and strong verbal and writing skills
3. Experience working in a fast-paced, deadline driven environment
4. Experience supervising employees or volunteers
5. Experience in public speaking
6. Experience in facilitating meetings with stakeholders
7. A law degree or graduate degree in public administration or public policy
SELECTION PROCESS
Please make sure that you provide sufficient information on your application to show that you meet the qualifications for this recruitment. All information concerning your qualifications must be submitted by the closing date.Â We will not consider information submitted after this date.Â Successful candidates will be ranked as Best Qualified, Better Qualified, or Qualified and placed on theÂ eligible (employment) list for at least one year.
EXAMINATION PROCESS
The assessment may consist of a rating of your education, training, and experience related to the requirements of the position.Â It is important that you provide complete and accurate information on your application.Â Please report all experience and education that is related to this position.
BENEFITS
FURTHER INSTRUCTIONS
Online applications are highly recommended. However, if you
are unabl",,
rich_full_text,,2024,Assistant Director,Utah County,7407.0,"Assistant Director, Utah County, Utah– Under general guidance and supervision of the Elections Director, assists with administering elections functions within the Office of the County Clerk, including voter registration and service, electronic voting system, candidate services, and the full elections process for Utah County. Incumbents serving in this classification represent the Elections Directo","Utah County
Human Resources
The Value of Public Service Employment is vital to the success of our state, county, and local communities.
Employee Hub
If you're a Utah County employee, please log in for more HR resources. You'll gain access to HR forms, policies, information about the Wellness program, and more.
Work Here!
Join the team at Utah County Government and make a difference in your community! We offer a wide range of career opportunities where you can contribute your skills, grow professionally, and enjoy competitive benefits. Whether you're passionate about public service, technology, healthcare, or administration, there's a place for you here. Explore our open positions and apply today to start building a rewarding career.
Compensation & Benefits
Utah County is proud to offer a comprehensive benefits package to eligible, career-service employees who work 20 or more hours per week. Our compensation resource includes pay steps and salary amounts.
Employee of the Month
View AllJanuary 2026: Kaylie Lake
It is with great pleasure that we recognize Kaylie Lake as Utah County Health Department’s Employee of the Quarter. Since joining the department, Kaylie has consistently demonstrated excellence, innovation, and dedication in her role as a Health Educator. Her work has had a measurable impact on food access, public health education, and community engagement across the region. Kaylie’s leadership in grant writing and coalition building has been instrumental in advancing health equity. Notable accomplishments include:
• Securing a $25,000 grant to develop a Healthy Food Access Action Plan. • Founding and leading the Mountainlands Regional Food Access Steering Committee. • Serving as Treasurer for the Utah Chapter of the Society of Public Health Education. • Establishing partnerships that support food security, nutrition education, and breastfeeding accommodations.
Her work spans a wide range of initiatives—from promoting farmers markets and SNAP benefits to suppor",,
rich_full_text,,2024,Elections Technology Specialist,McLennan County,6948.0,"Elections Technology Specialist, McLennan County, Texas– Under supervision of the Elections Administrator, the Elections Technology Specialist performs complex and technical duties related to activities in overseeing the County’s voting equipment by creating each election’s ballot using ballot origination software, programing and testing the County’s voting equipment with each elections ballot, pr","=== JOB DETAILS ===

Title: ELECTIONS TECHNOLOGY SPECIALIST
Salary: $19.92 - $31.72 HOUR
Location: TX, TX, TX, 76701
Employer: McLennan County (TX)
Employment Type: FULL_TIME
Date Posted: 2024-06-05
Job Type: Full-Time
Department: ELECTIONS ADMINISTRATION
Opening Date: 06/06/2024
Closing Date: 7/24/2024 8:59 AM Central
FLSA: Non-Exempt

=== JOB DESCRIPTION ===

Under supervision of the Elections Administrator, the Elections Technology Specialist performs complex and technical duties related to activities in overseeing the County’s voting equipment by creating each election’s ballot using ballot origination software, programing and testing the County’s voting equipment with each elections ballot, processing and scanning returned mail-in ballots with the Ballot Board, and maintaining the County’s voting equipment after each election.

Creates each election’s ballot utilizing vendor ballot origination software. Programs voting equipment once ballots have been created
Assists Elections Administrator with proofing and testing the ballot implementations using a State mandated Logic and Accuracy test
Maintains voting equipment inventory and ePollbook laptops. Conducts back up and reset of electronic voting equipment
Maintains and updates Election website and social media accounts pertinent to voting information and ensuring ADA compliance
Assists with planning, directing, coordinating and supervising the electronic process, ensuring that all voter and election records and files are prepared and maintained in a legal manner
Fulfills open records requests pertaining to election records
Operates delivery truck; driving to deliver and pick up Election Day equipment which involves disassembling and reassembling electronic components
Trains and leads election workers in operating voting equipment, as well as other aspects of the Elections office
Compiles State required reports, backups, and audit logs for each election
Provides technical guidance to other Elections staff regardi",,
marginal_full_text,,2017,IT Specialist,Collier County,599.0,"IT Specialist, Collier County, Florida — the IT Support Specialist works closely with IT staff to provide technical support and assistance to all staff located within the Supervisor of Elections office. This person will work with a wide variety of elections industry specific technologies to include hardware, software, programming, printers, and applications. In addition, this person will be provid","Special Notice: The City of Naples Canvassing Board will be conducting the manual audit for the City of Naples Election on February 11, 2026 at 10:00 a.m. Read on...
At approximately 7:30 p.m. tonight, the Collier County Supervisor of Elections office will post the first set of preliminary election results on their website: CollierVotes.gov and on their social media pages. Read on...
Today is Election Day and is the last opportunity to vote in the City of Naples Election. Only voters residing within the city limits of the City of Naples are eligible to participate in this election. Read on...",,
marginal_full_text,,2025,Chief Financial Officer II,New Mexico Secretary of State,2109.0,"Chief Financial Officer II, New Mexico Secretary of State– The Chief Financial Officer (CFO) serves as a key member of the executive leadership team for the Office of the Secretary of State, providing strategic direction and oversight for all financial and budgetary operations. This position ensures fiscal integrity, compliance with state and federal regulations, and responsible stewardship of pub","Voting & Elections
Information on Voting and Elections in the State of New Mexico.
Candidates & Campaigns
Information on how to become a candidate and about complying with campaign finance disclosure and reporting requirements.
Legislation, Lobbying & Legal Resources
Learn about Lobbying in our state. Find Legislative information to include Signed & Chaptered Bills and Legal Resources.
Business Services
Start a business, maintain a business or get general information on registered businesses in New Mexico.
Notary & Apostille
Become a notary, renew your notary commission, or obtain information about apostilles or certification of official documents.
Commercial Services
File UCC's, AG Liens, register a trademark or other commercial filings.
Safe at Home
New Mexico’s statewide address confidentiality program administered by the Secretary of State to assist victims of domestic violence, sexual assault, stalking or similar types of crimes to receive mail using the Secretary of State’s address as a substitute for their own.
Cybersecurity
Learn about how we protect your voter and business information. You might also find a tip or two that will help you secure your information as well.
About New Mexico
Learn about New Mexico Government, History, State Symbols, State Songs and other important information about our state.
Unofficial Election Results
Results will become available after 7 PM on Election Day, November 2, 2021 and will be posted as they are received from the county offices.
Election Results Homepage
Election Day Voter Hotline
Toll Free: 1-800-477-3632
Santa Fe: 505-827-3600 Option 2
The Election Day Voter Hotline is available on Election Day, November 2, from 7:00 AM to 7:00 PM to assist voters with questions or concerns.
Voter Resources
Online voter resources include:
About the office
Job Openings at the Secretary of State’s Office
Currently, there are no job openings. Please check back later.
Upcoming Statewide Elections
2026 Municipal Officer Election: Tuesday",,
